name,price,link
"
Lenovo Legion Y540-15IRH 81SX00QAPB PL
","1.283,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y540-15IRH 81SX00UGPB PL
","1.210,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y540-15IRH 81SX00UBPB PL
","1.071,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Ideapad S540-15IML Grey 81NG009QPB PL
","723,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Ideapad S340-15IIL 81WL001HPB PL
","670,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell G3 15 3590 Black PL with Backpack Dell GM1720PE
","806,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
DELL Inspiron 5770-2164 Silver
","550,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Ideapad C340-14API Black 81N600ATPB PL
","542,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad L590 20Q7001CPB PL
","1.028,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y540-15IRH 81SX00QRPB PL
","1.176,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y540-15IRH 81SX00QEPB PL
","1.261,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Ideapad S540-15IML Grey 81NG009RPB PL
","709,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Ideapad C340-14IWL Black 81TK00BWPB PL
","692,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Ideapad L340-17IRH Gaming Black 81LL009WPB PL
","807,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo IdeaPad L340-15IRH Gaming 81LK00L7RM PL
","784,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Ideapad L340-17IRH Gaming Black 81LL0057PB PL
","784,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Ideapad S340-14IWL Black 81N700KFPB PL
","554,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Ideapad C340-14IML Black 81TK00CCPB PL
","738,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Vostro 5490 Grey 5490-275577
","663,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad E15 Black 20RD003KMH
","666,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Inspiron 15 3593 Silver 273333416
","711,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
